Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
Matt_sjtu,916,10,52.2,12.3,17,0,0,0,229,17.9211,472,649,1193,24,Child Stuntedness 5,2/19/2015,279,26,1,1
osev,,,,,,0,0,0,,,,,,,,,279,0,,0
chengweichi,,,,,,0,0,0,,,,,,,,,279,0,,0
kazunetakahashi,1247,1,38,3,38,0,0,0,117,58.0645,385,1247,1247,15,Child Stuntedness 5,2/19/2015,279,26,2,3
omu,1217,1,40,5,40,0,0,0,121,56.6308,385,1217,1217,16,Child Stuntedness 5,2/19/2015,279,26,,0
Chikov2,669,6,331.1666667,5.666666667,220,0,0,0,,,348,669,1191,,TCO14 Round 1,4/9/2014,279,0,,0
tanzaku,1132,29,98.10344828,5.172413793,12,0,0,0,145,48.0287,498,793,1415,17,Trip Safety,1/26/2015,279,26,,0
goldfinch,1826,25,71.16,3.84,9,0,0,2,,,380,1466,1996,,TCO14 Round 3,6/25/2014,279,0,,0
nroeth,1379,4,67.25,2,20,0,0,0,84,69.8925,268,1324,1507,9,Trip Safety,1/26/2015,279,57,,0
yangzhe1991,897,6,93.66666667,2.666666667,43,0,0,0,,,227,855,968,,TCO12 Round 3,5/30/2012,279,0,,0
TwCoder,,,,,,0,0,0,,,,,,,,,279,0,,0
al_gol,1173,5,129.2,4,47,0,0,0,,,346,793,1173,,OctaveClassifier,2/14/2014,279,0,,0
nic.lim55,973,2,61.5,7,43,0,0,0,209,25.0896,402,760,973,3,Trip Safety,1/26/2015,279,4,,0
cheaps,1180,3,53.66666667,7.666666667,26,0,0,0,132,52.6882,494,1048,1417,17,Marathon Match 86,2/23/2015,279,57,,0
soybean,,,,,,0,0,0,,,,,,,,,279,0,,0
ahoenig,1314,3,70.33333333,5.333333333,28,0,0,0,96,65.5914,288,1227,1356,10,Marathon Match 86,2/23/2015,279,57,,0
Breusov,1754,31,93.87096774,5.838709677,8,0,0,1,36,87.0968,259,1025,1807,4,Design of Experiments Challeng,10/17/2014,279,10,1,1
ichattopadhyaya,1445,17,74.11764706,12.47058824,1,1,1,1,,,297,1206,1488,,TCO14 Round 3,6/25/2014,279,0,,0
ichyo,1333,8,87.875,3.375,18,0,0,0,93,66.6667,291,1181,1333,13,Child Stuntedness 5,2/19/2015,279,26,1,2
Cannon,843,9,102.4444444,3.888888889,18,0,0,0,,,303,843,1134,,Marathon Match 86,2/23/2015,279,0,,0
antoshkaplus,1297,8,116.125,8.5,56,0,0,0,,,331,1057,1402,,TCO14 Round 3,6/25/2014,279,0,,0
miguel_clean,1492,4,45,8,16,0,0,0,66,76.3441,279,1336,1492,7,Marathon Match 86,2/23/2015,279,16,,0
Zimuk,1340,2,43,6,19,0,0,0,91,67.3835,428,1097,1340,7,Child Stuntedness 5,2/19/2015,279,18,,0
adk90,,,,,,0,0,0,,,,,,,,,279,0,,0
eofsentinel,,,,,,0,0,0,,,,,,,,,279,0,,0
dimkadimon,1766,14,46.28571429,16.5,7,0,0,2,,,160,1351,1766,,TCO14 Round 3,6/25/2014,279,0,,0
LaguneXXX,,,,,,0,0,0,,,,,,,,,279,0,,0
LOY,1598,18,35.22222222,10.38888889,1,1,3,5,57,79.5699,506,1274,1699,11,Child Stuntedness 5,2/19/2015,279,26,1,1
cant_dance,1812,21,40,7.80952381,1,1,4,6,32,88.5305,404,1688,2065,5,Child Stuntedness 5,2/19/2015,279,16,,0
Lapro,,,,,,0,0,0,,,,,,,,,279,0,,0
Uchigle,1327,16,76.375,3.625,1,1,1,1,,,231,1321,1567,,Marathon Match 86,2/23/2015,279,0,,0
