ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,WTrei,Germany,20150304,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Wilxzzz,Indonesia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,WojciechMigda,Poland,20150303,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,WojciechMigda,Poland,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,WojciechMigda,Poland,20150304,7,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,WojciechMigda,Poland,20150305,2,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,WojciechMigda,Poland,20150305,6,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,Wook.Song,South Korea,20150304,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Yeko,France,20150305,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Yizuz,Mexico,20150304,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,YurkoFlisk,Ukraine,20150303,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,_Kevin,United States,20150303,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,_Romka_,Russia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,_dp_singh,India,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,aakinola,South Africa,20150303,2,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,aarticodes,United States,20150304,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,abcivashritt,India,20150303,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,abhi117,United States,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,abhishek.awale,India,20150305,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150304,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150305,9,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150305,11,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150305,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ablasco,United States,20150305,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,abundrew,United States,20150303,19,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,abundrew,United States,20150303,20,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,abundrew,United States,20150303,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,adk90,India,20150304,6,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,ads71993,(not set),20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,afrhu,Colombia,20150302,19,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,aguimont,France,20150306,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ahoenig,United States,20150302,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ahoenig,United States,20150302,14,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,ahoenig,United States,20150306,13,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,ainu7,South Korea,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ainu7,South Korea,20150303,3,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,air13,China,20150305,7,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,ajr.grubbs,United States,20150302,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,akarwa,United States,20150303,15,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,aklecram,Slovakia,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,akovski,United States,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,akshat-10,India,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,al_gol,Belarus,20150304,18,7,1,114513,16359,0,0
mmViewProblem,16359: BannerRegistration,alazyrabbit,China,20150303,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,alazyrabbit,Japan,20150304,2,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,alcanta,Romania,20150302,13,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,alcanta,Romania,20150303,7,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,alecn2002,Russia,20150303,12,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,alegro,(not set),20150303,8,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,alex90,Spain,20150304,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,alexey.dvortsov,United Kingdom,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,alexpeptan,Romania,20150303,15,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,alexpeptan,United Kingdom,20150303,10,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,alexpeptan,United Kingdom,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,alinionut.popa,Romania,20150303,3,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,ananthhh,India,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ananthhh,India,20150303,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,andrei.ai,Romania,20150303,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,andrey_korol,Ukraine,20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,andrez89,Italy,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,(not set),20150303,2,7,3,114513,16359,3,2.333333333
