ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:pagePath,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent,ga:timeOnPage
mmViewProblem,16359: BannerRegistration,PuffRing,United States,20150305,1,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,2,1,39023,19511.5,0,0,0
mmViewProblem,16359: BannerRegistration,PuffRing,United States,20150305,1,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,Qasaur,Sweden,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,RRx,South Korea,20150303,2,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,6,4,97557,16259.5,2,3,0
mmViewProblem,16359: BannerRegistration,RRx,South Korea,20150303,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Ra16bit,Russia,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Ra16bit,Russia,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Ra16bit,Russia,20150305,5,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Raja.Reddy,United States,20150304,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Rajpurohit,India,20150305,4,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Rajpurohit,India,20150305,4,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,RegAse,Iceland,20150303,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Rizvanov_de_xXx,Ukraine,20150305,2,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Robert.Beckett,Canada,20150304,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,RobinWang,United States,20150302,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,2,58534,14633.5,2,2,0
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,9,'/topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,17,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,SIGCHLD,United States,20150305,23,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,10,1,156091,15609.1,1,10,0
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,2,1,39023,19511.5,0,0,0
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150304,20,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150305,4,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,SebM,France,20150302,17,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,4,1,58534,14633.5,0,0,0
mmViewProblem,16359: BannerRegistration,SebM,France,20150303,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Seip_meginu,Lithuania,20150305,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,0,0,0
